huc8
12110203
01020005
01030003
01040002
01050001
01050002
01050003
01050004
01060001
01060002
01060003
01070006
01080205
01090001
01090002
01090003
01090004
01090005
01100002
01100003
01100004
01100005
01100006
02020003
02020004
02020006
02020007
02020008
02030101
02030102
02030103
02030104
02030105
02030201
02030202
02030203
02040105
02040201
02040202
02040203
02040204
02040205
02040206
02040207
02040301
02040302
02040303
02040304
02050306
02060001
02060002
02060003
02060004
02060005
02060006
02070010
02070011
02080101
02080102
02080104
02080105
02080106
02080107
02080108
02080109
02080110
02080111
02080205
02080206
02080207
02080208
03010107
03010201
03010202
03010203
03010204
03010205
03020101
03020102
03020103
03020104
03020105
03020202
03020203
03020204
03020301
03020302
03030005
03030006
03030007
03040201
03040202
03040204
03040205
03040206
03040207
03040208
03050112
03050201
03050202
03050206
03050207
03050208
03050209
03050210
03060109
03060110
03060202
03060203
03060204
03070106
03070201
03070203
03070204
03070205
03080101
03080102
03080103
03080201
03080202
03080203
03090101
03100203
03100204
03100205
03100206
03100207
03100208
03110101
03110102
03110103
03110205
03110206
03120001
03120003
03090102
03090103
03090201
03090202
03090203
03090204
03090205
03090206
03100101
03100102
03100103
03100201
03100202
03130011
03130012
03130013
03130014
03140101
03140102
03140103
03140104
03140105
03140106
03140107
03140203
03140305
03150204
03160204
03160205
03170006
03170007
03170008
03170009
03180004
08040301
08060100
08070100
08070201
08070202
08070203
08070204
08070205
08070300
08080101
08080102
08080103
08080201
08080202
08080203
08080204
08080205
08080206
08090100
08090201
08090202
08090203
08090301
08090302
12010005
12020003
12020006
12020007
12030203
12040104
12040201
12040202
12040203
12040204
12040205
12070104
12090302
12090401
12090402
12100101
12100102
12100204
12100303
12100401
12100402
12100403
12100404
12100405
12100406
12100407
12110111
12110201
12110202
12110204
12110205
12110206
12110207
12110208
13090002
17070105
17080001
17080002
17080003
17080005
17080006
17090007
17090011
17090012
17100101
17100102
17100104
17100105
17100106
17100201
17100202
17100203
17100204
17100205
17100206
17100207
17100303
17100304
17100305
17100306
17100310
17100312
17110002
17110003
17110004
17110007
17110008
17110009
17110010
17110011
17110012
17110013
17110014
17110015
17110016
17110017
17110018
17110019
17110020
17110021
18010101
18010102
18010105
18010107
18010108
18010109
18010110
18010209
18020104
18020111
18020116
18020126
18020158
18020159
18020161
18020162
18020163
18040002
18040003
18040009
18040010
18040011
18040012
18040013
18040051
18050001
18050002
18050003
18050004
18050005
18050006
18060002
18060005
18060006
18060008
18060009
18060010
18060013
18060014
18060015
18070101
18070102
18070103
18070104
18070105
18070106
18070107
18070201
18070203
18070204
18070301
18070302
18070303
18070304
18070305
